feature_set,l2,pos_weight,roc_auc,pr_auc
baseline_8_features,0.001,1.0,0.7295238095238096,0.540480086702844
baseline_8_features,0.01,1.0,0.7280952380952381,0.5371791218678755
baseline_8_features,0.05,1.0,0.7280952380952381,0.5360595301438765
baseline_8_features,0.05,1.5,0.7247619047619047,0.5318688986890214
baseline_8_features,0.05,2.260869565217391,0.7209523809523809,0.5192971273511217
baseline_8_features,0.01,1.5,0.7204761904761905,0.5257821502225021
baseline_8_features,0.1,1.5,0.72,0.5228772475677774
baseline_8_features,0.05,2.0,0.72,0.5204925792079981
baseline_8_features,0.1,1.0,0.7195238095238096,0.525409967059171
baseline_8_features,0.001,1.5,0.7180952380952381,0.5220296760641417
engineered_13_features,0.3,1.0,0.7166666666666667,0.5502083675266733
baseline_8_features,0.1,2.260869565217391,0.7166666666666667,0.5130352595717312
baseline_8_features,0.01,2.260869565217391,0.7166666666666667,0.5071652953264854
engineered_13_features,0.3,1.5,0.7161904761904762,0.5392164268719166
engineered_13_features,0.01,1.0,0.7161904761904762,0.5359045806993384
engineered_13_features,0.1,1.5,0.7161904761904762,0.5294728044307621
baseline_8_features,0.01,2.0,0.7161904761904762,0.5098581076002184
engineered_13_features,0.1,1.0,0.7157142857142857,0.5287697462049398
baseline_8_features,0.001,2.0,0.7157142857142857,0.5097526956300472
baseline_8_features,0.1,2.0,0.7152380952380952,0.5117658329629382
engineered_13_features,0.05,1.5,0.7147619047619047,0.5232747027560642
engineered_13_features,0.05,1.0,0.7147619047619047,0.5221982897067916
engineered_13_features,0.3,2.260869565217391,0.7147619047619047,0.5194497051934605
baseline_8_features,0.3,1.0,0.7147619047619047,0.519182351974611
engineered_13_features,1.0,1.5,0.7138095238095238,0.5370287801689587
baseline_8_features,0.001,2.260869565217391,0.7138095238095238,0.5039406392069196
baseline_8_features,1.0,1.0,0.7123809523809523,0.5348824095452518
engineered_13_features,0.3,2.0,0.7123809523809523,0.516889449765638
engineered_13_features,0.05,2.0,0.7123809523809523,0.5145453227221944
engineered_13_features,1.0,1.0,0.7119047619047619,0.5377752406311097
engineered_13_features,1.0,2.260869565217391,0.7119047619047619,0.5361263284858409
engineered_13_features,1.0,2.0,0.7119047619047619,0.535410984208595
baseline_8_features,1.0,2.0,0.7119047619047619,0.5328465476667307
baseline_8_features,1.0,1.5,0.7119047619047619,0.5327618521904484
engineered_13_features,0.1,2.260869565217391,0.7119047619047619,0.5178777863286376
baseline_8_features,0.3,1.5,0.7119047619047619,0.5130582235726533
baseline_8_features,0.3,2.0,0.7119047619047619,0.5120233466638658
baseline_8_features,0.3,2.260869565217391,0.7119047619047619,0.5114281308186607
engineered_13_features,0.1,2.0,0.7114285714285714,0.5211064904489019
engineered_13_features,0.05,2.260869565217391,0.7114285714285714,0.5091318978608926
baseline_8_features,1.0,2.260869565217391,0.7104761904761905,0.5159200013770942
engineered_13_features,0.01,1.5,0.7095238095238096,0.5231737575799146
engineered_13_features,0.01,2.0,0.7033333333333334,0.5201497096205088
engineered_13_features,0.01,2.260869565217391,0.6995238095238095,0.5130273879211223
engineered_13_features,0.001,1.0,0.6947619047619048,0.5102723449111344
engineered_13_features,0.001,1.5,0.6904761904761905,0.4975799876157713
engineered_13_features,0.001,2.0,0.6833333333333333,0.4780654161437333
engineered_13_features,0.001,2.260869565217391,0.6795238095238095,0.4649575515570246
