threshold,accuracy,approval_rate,decline_rate,default_rate_approved,recall_default,precision_default,tn,fp,fn,tp
0.05,0.33,0.05,0.95,0.2,0.9666666666666667,0.30526315789473685,4,66,1,29
0.06,0.34,0.06,0.94,0.16666666666666666,0.9666666666666667,0.30851063829787234,5,65,1,29
0.07,0.38,0.1,0.9,0.1,0.9666666666666667,0.32222222222222224,9,61,1,29
0.08,0.41,0.13,0.87,0.07692307692307693,0.9666666666666667,0.3333333333333333,12,58,1,29
0.09,0.47,0.19,0.81,0.05263157894736842,0.9666666666666667,0.35802469135802467,18,52,1,29
0.1,0.49,0.21,0.79,0.047619047619047616,0.9666666666666667,0.3670886075949367,20,50,1,29
0.11,0.54,0.26,0.74,0.038461538461538464,0.9666666666666667,0.3918918918918919,25,45,1,29
0.12,0.55,0.27,0.73,0.037037037037037035,0.9666666666666667,0.3972602739726027,26,44,1,29
0.13,0.57,0.29,0.71,0.034482758620689655,0.9666666666666667,0.4084507042253521,28,42,1,29
0.14,0.58,0.32,0.6799999999999999,0.0625,0.9333333333333333,0.4117647058823529,30,40,2,28
0.15,0.58,0.34,0.6599999999999999,0.08823529411764706,0.9,0.4090909090909091,31,39,3,27
0.16,0.61,0.37,0.63,0.08108108108108109,0.9,0.42857142857142855,34,36,3,27
0.17,0.62,0.38,0.62,0.07894736842105263,0.9,0.43548387096774194,35,35,3,27
0.18,0.67,0.43,0.5700000000000001,0.06976744186046512,0.9,0.47368421052631576,40,30,3,27
0.19,0.67,0.43,0.5700000000000001,0.06976744186046512,0.9,0.47368421052631576,40,30,3,27
0.2,0.67,0.43,0.5700000000000001,0.06976744186046512,0.9,0.47368421052631576,40,30,3,27
0.21,0.67,0.43,0.5700000000000001,0.06976744186046512,0.9,0.47368421052631576,40,30,3,27
0.22,0.67,0.43,0.5700000000000001,0.06976744186046512,0.9,0.47368421052631576,40,30,3,27
0.23,0.67,0.43,0.5700000000000001,0.06976744186046512,0.9,0.47368421052631576,40,30,3,27
0.24,0.68,0.44,0.56,0.06818181818181818,0.9,0.48214285714285715,41,29,3,27
0.25,0.71,0.47,0.53,0.06382978723404255,0.9,0.5094339622641509,44,26,3,27
